section,category,word,sentence
Abstract,hedges,may,Whether the postgraduate students in the EFL context are adequately trained to express their authorial voice in academic writing in an appropriate tone has not been clarified enough in the literature.
Abstract,hedges,might,Whether the postgraduate students in the EFL context are adequately trained to express their authorial voice in academic writing in an appropriate tone has not been clarified enough in the literature.
Abstract,hedges,possible,Whether the postgraduate students in the EFL context are adequately trained to express their authorial voice in academic writing in an appropriate tone has not been clarified enough in the literature.
Abstract,boosters,major,"The major findings of the study showed that the most frequently used stance markers were hedges, followed by attitude markers, then boosters, and finally self-mentions."
Abstract,boosters,most,"The major findings of the study showed that the most frequently used stance markers were hedges, followed by attitude markers, then boosters, and finally self-mentions."
Abstract,boosters,frequently,"The major findings of the study showed that the most frequently used stance markers were hedges, followed by attitude markers, then boosters, and finally self-mentions."
Abstract,attitude_markers,adequately,Whether the postgraduate students in the EFL context are adequately trained to express their authorial voice in academic writing in an appropriate tone has not been clarified enough in the literature.
Abstract,attitude_markers,appropriate,Whether the postgraduate students in the EFL context are adequately trained to express their authorial voice in academic writing in an appropriate tone has not been clarified enough in the literature.
Abstract,attitude_markers,ambitious,"To meet this ambitious requirement, the study recommends explicit instruction, training, and showcasing these textual resources as they occur in high quality discipline-specific publications."
Abstract,self_mentions,this study,The aim of this study is to explore the linguistic resources used by Saudi postgraduate students of Applied Linguistics to construct stance when they write critique essays.
Abstract,self_mentions,this study,"To analyze this corpus, LancsBox corpus analysis software was used to generate the concordances with frequencies of key words in context."
Abstract,self_mentions,this study,"The major findings of the study showed that the most frequently used stance markers were hedges, followed by attitude markers, then boosters, and finally self-mentions."
Abstract,self_mentions,this study,"To meet this ambitious requirement, the study recommends explicit instruction, training, and showcasing these textual resources as they occur in high quality discipline-specific publications."
Introduction,hedges,may,"It is the way that writers intrude to stamp their personal authority onto their arguments or step back and disguise their involvement” (Hyland, 2005, p. 176)."
Introduction,hedges,possible,It comprises the ways writers bring readers into the discourse to anticipate their possible objections.
Introduction,hedges,likely,Google scholar metrics report that it has been cited more than 1700 times and its impact is likely to continue.
Introduction,hedges,aims,The present study focuses on stance only because the author aims basically at exploring the linguistic resources used by the emerging Saudi scholars of Applied Linguistics to express their personal views and authorial voice.
Introduction,boosters,basically,The present study focuses on stance only because the author aims basically at exploring the linguistic resources used by the emerging Saudi scholars of Applied Linguistics to express their personal views and authorial voice.
Introduction,attitude_markers,attention,This theoretical framework has attracted the attention of a large number of researchers in the field of academic writing in different language contexts.
Introduction,attitude_markers,impact,Google scholar metrics report that it has been cited more than 1700 times and its impact is likely to continue.
Introduction,self_mentions,I,"It is the way that writers intrude to stamp their personal authority onto their arguments or step back and disguise their involvement” (Hyland, 2005, p. 176)."
Introduction,self_mentions,the researcher,"It is the way that writers intrude to stamp their personal authority onto their arguments or step back and disguise their involvement” (Hyland, 2005, p. 176)."
Introduction,self_mentions,the author,The present study focuses on stance only because the author aims basically at exploring the linguistic resources used by the emerging Saudi scholars of Applied Linguistics to express their personal views and authorial voice.
Review of Related Studies,hedges,may,This finding might have been caused by the type of subjects who participated in the study.
Review of Related Studies,hedges,might,This finding might have been caused by the type of subjects who participated in the study.
Review of Related Studies,hedges,possible,"The results also showed that “the stance construed by the EFL writers did not reflect the exclusive influence of any of the two cultures involved, but represented an inter-genre with a blend of different features coexisting in the same text.”"
Review of Related Studies,hedges,expected,This result is expected given the level of writers “Master’s degree” and the instructional environment “EFL”.
Review of Related Studies,hedges,hypothesized,"Given the characteristics of academic writing instruction in the EFL setting, it is hypothesized that challenges are more serious."
Review of Related Studies,boosters,clearly,The corpus-based approach was used to answer the first research question.
Review of Related Studies,boosters,definitely,The data were collected from a convenience sample of twenty students sampled on the basis of availability.
Review of Related Studies,attitude_markers,important,"Similar findings argue that advanced learners can master the basic rules of syntax and morphology, but encounter the challenge of using rhetorical skills, particularly the construction of writer stance (Chang & Schleppegrell, 2011; Connor & Upton, 2016; Al-Mudhaffari et al., 2020) ."
Review of Related Studies,attitude_markers,unfortunately,They also lack awareness of the appropriate degree of directness and indirectness in demonstrating their stance towards the epistemological content of a text.
Review of Related Studies,attitude_markers,interestingly,"Some studies refer to stance and voice as evaluative language (Martin & White, 2005) or attitude."
Review of Related Studies,attitude_markers,skillful,"The study revealed that, while high-graded writers maintained their formality, they exploited multiple attitude-invoking judgment strategies in a skillful manner."
